job0	9	9	1762	0	14347	2	6
job1	18	9	970	609	697	3	4
job2	20	2	53088744165	1510005522	5759777	6	6
job3	22	2	61873748853	1387369304	5840114	6	4
job4	25	3	404	22	191	2	5
job5	32	7	1483413	0	17296097682	7	4
job6	32	0	404	22	191	4	2
job7	46	14	25526958	300	24106570	6	1
job8	49	3	6913085573	1380194628	2464	2	2
job9	56	7	123701	0	1480875	5	3
job10	74	18	12177	5586	835	6	1
job11	75	1	1739	856	811	4	7
job12	75	0	66745	57872	1788	1	6
job13	75	0	2259	1992	1721	2	1
job14	75	0	15817	13283	1758	4	5
job15	76	1	51389	25552	859	7	2
job16	83	7	12976476	29882024	11298047	3	2
job17	84	1	396	0	2811	1	3
job18	85	1	247378729350	25004320618	18912002	4	6
job19	88	3	15403	9586	1739735	7	7
job20	90	2	302	22	136	6	7
job21	91	1	105524690590	199332552722	22658748953	7	4
job22	92	1	302	18	136	4	3
job23	92	0	105524690590	247225400197	22848949208	3	2
job24	114	22	189401834974	0	1079571246	5	4
job25	116	2	9914	292	288	1	6
job26	117	1	189401834974	0	7715860	5	6
job27	117	0	1063401	0	46284	6	4
job28	118	1	756581	0	43023	4	4
job29	119	1	6589	5905	3744	7	3
job30	119	0	3827	1468	1831	1	4
job31	123	4	13710389	0	575930	2	6
job32	126	3	48183425	55501379	25747658	3	3
job33	127	1	404	18	191	1	4
job34	130	3	404	22	191	1	3
job35	132	2	1	49	0	2	1
job36	144	12	189401834974	0	1176919669	4	4
job37	150	6	59669379100	0	54341481374	6	1
job38	154	4	189401834974	0	1248373017	6	5
job39	155	1	47081	549	569	6	3
job40	156	1	189401834974	0	44865745	1	3
job41	157	1	1	29	0	5	7
job42	166	9	189401834974	0	12614001	5	5
job43	166	0	189401834974	0	5217241	3	4
job44	167	1	189401834974	0	1298313323	6	2
job45	178	11	3875	0	16788	1	2
job46	179	1	1965	0	6166	4	6
job47	180	1	319170822	53397	816	4	1
job48	181	1	86583681	0	3630928	4	7
job49	189	8	77302089315	111142889	1424411	7	7
job50	190	1	83536091926	149864943	1423388	5	2
job51	190	0	73476471165	118236217	1421507	6	2
job52	190	0	78426386362	116148111	1424420	1	2
job53	191	1	494662	0	103899246476	3	6
job54	191	0	302	22	136	1	2
job55	192	1	302	22	136	7	6
job56	193	1	64306595974	99952523	1421527	2	5
job57	195	2	450371	0	450371	6	1
job58	195	0	78355250388	136941599	1422842	1	3
job59	197	2	85808475492	123158254	1424743	6	6
job60	205	8	1094143387	272063600	43687215	5	6
job61	230	25	670686	0	580944288	7	3
job62	230	0	467089624640	101701	244	6	6
job63	230	0	27900870	302	26628408	5	2
job64	231	1	2155	527	518	1	6
job65	233	2	404	22	191	5	6
job66	240	7	3585259	5243777	41169	4	4
job67	241	1	3405400	5190026	42219	2	6
job68	241	0	11183567	0	15746926	1	2
job69	246	5	450371	0	450371	2	1
job70	246	0	4233153	37	244	1	1
job71	248	2	15018947218	52205101	1419016	6	1
job72	267	19	404	22	191	5	1
job73	268	1	7828468	10060775	4690086	6	4
job74	283	15	302	22	136	6	3
job75	290	7	91946283	0	364076589	5	7
job76	299	9	539	74	289	4	3
job77	314	15	302	22	136	2	7
job78	317	3	27900870	51845015	26590981	3	3
job79	327	10	404	22	191	5	3
job80	328	1	1666732399	2229848800	2362	4	4
job81	330	2	4002469713	769566052	3082	2	1
job82	336	6	58771293366	609318	1975	1	7
job83	341	5	219675	0	110031	5	5
job84	343	2	6498636747	0	1610528	5	5
job85	347	4	6498636747	0	310329	3	2
job86	354	7	6498641107	0	313929	4	7
job87	357	3	404	22	191	1	4
job88	361	4	6498641107	0	219840957	3	2
job89	362	1	6498636747	0	314531	1	1
job90	369	7	6498636747	0	220630179	3	5
job91	371	2	1	49	0	5	5
job92	373	2	1221257245	306018850	47636941	7	3
job93	374	1	6498636747	0	318708	5	4
job94	380	6	6498636747	0	1621932	4	6
job95	386	6	302	22	136	7	5
job96	388	2	28326806	31429168	15136143	5	5
job97	397	9	1	49	0	6	1
job98	401	4	17808801	11241137	147710	2	7
job99	405	4	18250732	11739343	132348	4	7
job100	406	1	302	22	136	2	5
job101	411	5	4666941	0	184618	6	5
job102	413	2	2364020	0	107004	6	6
job103	415	2	6200	0	614533304	6	7
job104	419	4	218116	0	106674	5	2
job105	420	1	219373002	304888541	88828070	5	6
job106	420	0	21605020	0	872100	3	1
job107	423	3	404	22	191	4	2
job108	435	12	281473678	113927671	24350970	4	6
job109	447	12	404	22	191	1	2
job110	453	6	15829743	0	11144472	5	7
job111	453	0	249607197419	24253504175	18513687	5	3
job112	456	3	467089624640	101701	244	2	6
job113	463	7	4233153	37	244	6	2
job114	464	1	197088489	0	67175	3	5
job115	466	2	302	22	136	3	3
job116	472	6	1070808	1402761	421410	1	1
job117	474	2	22555	3425	93	6	2
job118	478	4	781292838397	1281995000410	780422469303	3	2
job119	480	2	17289355	303	15116673	3	5
job120	481	1	13020668	358690	148534	3	7
job121	481	0	11137305	0	11145501	2	2
job122	482	1	3728070320	0	502517807	4	6
job123	485	3	2377667935	4979403763	182050104	4	1
job124	496	11	302	22	136	5	7
job125	496	0	108194735	0	0	2	7
job126	499	3	160421525635	21302095981	2559015744	7	1
job127	514	15	17792112	11278783	138401	5	5
job128	515	1	18864345	12129252	132668	2	5
job129	515	0	18543381	11911840	134690	5	6
job130	523	8	461722	0	0	4	1
job131	530	7	404	22	191	3	7
job132	531	1	1590684084	7593417002	2090196743	5	4
job133	532	1	11145692	0	11078796	2	5
job134	542	10	668098182950	0	722355123334	2	3
job135	542	0	421601	0	7761980	7	4
job136	545	3	148725	0	1970287	2	7
job137	548	3	39718426258	6538279534	22862	5	4
job138	560	12	140551969	25310433	2709	5	4
job139	560	0	18416616174	42790093140	23787043241	7	7
job140	566	6	2550	1436	1121	5	3
job141	569	3	396347971	153416177	30428939	7	1
job142	574	5	240151344744	19180097866	17029139	1	7
job143	575	1	18951043	12158868	135154	6	1
job144	578	3	302	22	136	7	5
job145	585	7	404	22	191	5	4
job146	585	0	7992032760	0	6345	7	2
job147	590	5	1082	0	10964	7	2
job148	596	6	554605592	974351549	10949326	2	2
job149	602	6	230640382975	24012893189	18619965	4	4
job150	602	0	5706354	4261258	103288	3	5
job151	609	7	1	29	0	3	2
job152	611	2	5786942	5023360	122436	2	6
job153	615	4	404	22	191	5	7
job154	617	2	230057340803	22117698818	17740492	6	4
job155	630	13	211388538564	15891545508	14530026	4	3
job156	631	1	302	18	136	2	3
job157	637	6	1	49	0	3	4
job158	638	1	108194735	35073849	14175394	5	1
job159	647	9	240796251344	25820734945	19282036	7	7
job160	654	7	53500053881	1461226151	5864937	4	2
job161	655	1	467453156	0	502465373	6	4
job162	658	3	302	22	136	5	1
job163	674	16	404	22	191	3	2
job164	688	14	22220	22	191	1	2
job165	691	3	232012059543	25253124733	19283926	4	3
job166	696	5	58771293366	532206	12104	5	6
job167	712	16	4233153	33	244	6	4
job168	716	4	404	22	191	4	6
job169	717	1	488820966	52149862	560	3	3
job170	718	1	140551969	0	0	3	2
job171	718	0	273241731	98101385	415	4	7
job172	723	5	273241731	35368570	290	7	3
job173	725	2	1567	1634	1204	4	6
job174	727	2	1042983	0	47859	4	5
job175	727	0	302	22	136	4	7
job176	729	2	4121470	0	186819	1	3
job177	731	2	125	0	2373303	1	5
job178	731	0	138	0	5444591	3	7
job179	731	0	559951	0	29611	2	7
job180	752	21	2606432247	731306	159877	5	4
job181	754	2	283012638	0	78973	7	4
job182	755	1	102924629	0	4098629	2	4
job183	760	5	302	22	136	3	4
job184	761	1	2861	4438	643	4	4
job185	766	5	404	22	191	3	5
job186	775	9	5444591	0	4906202	3	3
job187	778	3	2373303	0	2087457	3	1
job188	786	8	39745643	27421142	22949073	3	3
job189	796	10	27982424340	133345989092	18949661418	2	4
job190	798	2	404	22	191	7	4
job191	798	0	218705	0	107528	3	1
job192	799	1	88614304	0	348841380	2	3
job193	814	15	302	22	136	3	2
job194	818	4	18467316	11859799	135317	4	3
